actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
-5.077428,-2.059398,-1.424866,0.570693,1.967342,6.199424,0.295836,0.552604,0.443023,-1.355414,-0.148933,-0.115905
-5.077416,-2.059398,-1.424878,0.570669,1.967366,6.199424,0.295828,0.552609,0.443017,-1.355447,-0.148952,-0.115868
-5.077428,-2.059398,-1.424830,0.570705,1.967354,6.199388,0.295835,0.552603,0.443039,-1.355366,-0.148978,-0.115941
-5.077428,-2.059398,-1.424842,0.570681,1.967378,6.199376,0.295834,0.552605,0.443033,-1.355399,-0.148998,-0.115924
-5.077440,-2.059422,-1.424842,0.570693,1.967378,6.199388,0.295843,0.552608,0.443018,-1.355413,-0.148979,-0.115920
-5.077416,-2.059398,-1.424866,0.570681,1.967378,6.199436,0.295827,0.552608,0.443023,-1.355424,-0.148960,-0.115856
-5.077428,-2.059386,-1.424842,0.570705,1.967342,6.199436,0.295834,0.552599,0.443042,-1.355369,-0.148935,-0.115908
-5.077452,-2.059422,-1.424830,0.570705,1.967366,6.199412,0.295850,0.552604,0.443024,-1.355393,-0.148950,-0.115925
-5.077440,-2.059386,-1.424842,0.570681,1.967354,6.199436,0.295841,0.552598,0.443040,-1.355393,-0.148932,-0.115903
-5.077464,-2.059422,-1.424866,0.570693,1.967402,6.199388,0.295854,0.552601,0.443008,-1.355437,-0.148977,-0.115917
-5.077452,-2.059409,-1.424938,0.570705,1.967342,6.199412,0.295850,0.552598,0.442986,-1.355483,-0.148908,-0.115913
-5.077440,-2.059409,-1.424902,0.570693,1.967366,6.199376,0.295842,0.552603,0.443001,-1.355457,-0.148966,-0.115924
-5.077452,-2.059409,-1.424842,0.570693,1.967378,6.199388,0.295848,0.552601,0.443026,-1.355402,-0.148974,-0.115934
-5.077440,-2.059422,-1.424866,0.570657,1.967330,6.199400,0.295848,0.552612,0.443006,-1.355471,-0.148916,-0.115925
-5.077452,-2.059409,-1.424902,0.570645,1.967342,6.199400,0.295852,0.552605,0.442998,-1.355505,-0.148910,-0.115916
-5.077416,-2.059422,-1.424854,0.570681,1.967330,6.199376,0.295834,0.552617,0.443013,-1.355433,-0.148957,-0.115936
-5.077452,-2.059362,-1.424854,0.570657,1.967366,6.199400,0.295844,0.552589,0.443049,-1.355403,-0.148955,-0.115932
-5.077464,-2.059422,-1.424854,0.570669,1.967354,6.199412,0.295859,0.552603,0.443012,-1.355450,-0.148918,-0.115926
-5.077428,-2.059374,-1.424842,0.570693,1.967402,6.199400,0.295828,0.552596,0.443048,-1.355367,-0.149010,-0.115898
-5.077464,-2.059409,-1.424842,0.570729,1.967366,6.199400,0.295854,0.552593,0.443028,-1.355370,-0.148955,-0.115953
-5.077476,-2.059409,-1.424902,0.570729,1.967354,6.199400,0.295861,0.552589,0.443003,-1.355428,-0.148924,-0.115953
-5.077440,-2.059422,-1.424794,0.570705,1.967330,6.199412,0.295847,0.552608,0.443039,-1.355358,-0.148936,-0.115951
-5.077464,-2.059446,-1.424866,0.570681,1.967378,6.199424,0.295860,0.552610,0.442992,-1.355474,-0.148924,-0.115893
-5.077416,-2.059398,-1.424878,0.570681,1.967354,6.199412,0.295829,0.552608,0.443017,-1.355435,-0.148953,-0.115889
-5.077428,-2.059386,-1.424842,0.570705,1.967330,6.199376,0.295835,0.552599,0.443042,-1.355366,-0.148966,-0.115967
-5.077464,-2.059409,-1.424902,0.570693,1.967378,6.199412,0.295854,0.552596,0.443000,-1.355461,-0.148935,-0.115906
-5.077452,-2.059398,-1.424854,0.570705,1.967354,6.199400,0.295848,0.552595,0.443029,-1.355392,-0.148948,-0.115944
-5.077428,-2.059386,-1.424854,0.570693,1.967378,6.199412,0.295831,0.552600,0.443036,-1.355390,-0.148976,-0.115897
-5.077476,-2.059422,-1.424890,0.570681,1.967342,6.199376,0.295866,0.552598,0.442998,-1.355472,-0.148918,-0.115967
-5.077452,-2.059398,-1.424866,0.570705,1.967342,6.199364,0.295849,0.552595,0.443024,-1.355401,-0.148960,-0.115978
-5.077452,-2.059409,-1.424878,0.570681,1.967366,6.199376,0.295849,0.552601,0.443010,-1.355447,-0.148960,-0.115938
-5.077452,-2.059398,-1.424890,0.570693,1.967390,6.199412,0.295845,0.552596,0.443013,-1.355437,-0.148959,-0.115895
-5.077428,-2.059434,-1.424866,0.570741,1.967354,6.199388,0.295838,0.552611,0.443003,-1.355400,-0.148970,-0.115930
-5.077428,-2.059386,-1.424842,0.570693,1.967354,6.199388,0.295834,0.552600,0.443041,-1.355378,-0.148975,-0.115937
-5.077464,-2.059398,-1.424830,0.570645,1.967330,6.199412,0.295859,0.552598,0.443036,-1.355428,-0.148903,-0.115950
-5.077440,-2.059374,-1.424854,0.570681,1.967366,6.199376,0.295838,0.552594,0.443042,-1.355389,-0.148982,-0.115946
-5.077428,-2.059409,-1.424866,0.570693,1.967342,6.199400,0.295844,0.552603,0.443027,-1.355422,-0.148962,-0.115961
-5.077464,-2.059422,-1.424866,0.570681,1.967378,6.199400,0.295857,0.552602,0.443007,-1.355449,-0.148946,-0.115920
-5.077464,-2.059409,-1.424830,0.570705,1.967414,6.199388,0.295851,0.552596,0.443031,-1.355380,-0.149001,-0.115927
-5.077416,-2.059398,-1.424806,0.570669,1.967390,6.199400,0.295827,0.552611,0.443047,-1.355377,-0.149005,-0.115893
-5.077428,-2.059409,-1.424854,0.570693,1.967366,6.199364,0.295835,0.552608,0.443021,-1.355410,-0.148993,-0.115938
